article_id,source,article_title,article_url,date_published,country,region_department,locality,latitude,longitude,sector,actor_company,community_actor,event_type,environmental_issue,source_text_excerpt,extraction_method,notes,geocode_status,geocode_precision,geocode_query,geocode_display_name
elespectador:CSNLVX6X3JCNVOGY5M4E4ZZIEI,El Espectador,"El proyecto de cobre más grande de Colombia tuvo luz verde, pero quedan unos “peros”",https://www.elespectador.com/ambiente/blog-el-rio/el-alacran-el-proyecto-de-cobre-mas-grande-de-colombia-tuvo-luz-verde-pero-quedan-unos-peros/,2026-05-31,Colombia,Córdoba,,8.334471,-75.666624,mining,,,,,"El Alacrán, una mina de 97 millones de toneladas de cobre, recibió luz verde. Pero hay varias dudas sobre su impacto en las fuentes de agua.",metadata + keyword rule,No event_type matched; manual review. | Author: Andrés Mauricio Díaz Páez | Section: Blog El Río,ok,region,"Córdoba, Colombia","Córdoba, RAP Caribe, Colombia"
elespectador:IMA74ED6U5FRBPI5FDX2SGXVKQ,El Espectador,Parque Tayrona anuncia cierre temporal durante las dos primeras semanas de junio,https://www.elespectador.com/ambiente/parque-tayrona-anuncia-cierre-temporal-durante-las-dos-primeras-semanas-de-junio/,2026-05-30,Colombia,,,4.099917,-72.908813,protected_areas,,,,,"Del próximo 1 al 15 de junio, el PNN Tayrona cerrará sus puertas al público para “dar un respiro” al área protegida.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente,ok,country,Colombia,Colombia
elespectador:5JIFCLAIVFGP7GMJ5DCUQW6QJI,El Espectador,¿Cómo la guerra en Medio Oriente le está pasando factura a Colombia?,https://www.elespectador.com/economia/efectos-de-la-guerra-en-medio-oriente-en-colombia-gasolina-subsidios-gas-importado-y-el-nino/,2026-05-25,Colombia,,,4.099917,-72.908813,oil_gas,,,protest,,Precio de los combustibles y gas importado: así está impactando a Colombia el bloqueo del estrecho de Ormuz.,metadata + keyword rule,Premium/locked article — full body not scraped. | Author: Redacción Economía | Section: Economía,ok,country,Colombia,Colombia
elespectador:AU4SJ676N5EPRA5UOPENZU33ZA,El Espectador,La carta de más de 120 investigadores del sector ambiental a los candidatos a la Presidencia,https://www.elespectador.com/ambiente/la-carta-de-mas-de-120-investigadores-del-sector-ambiental-a-los-candidatos-a-la-presidencia/,2026-05-23,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,deforestation,Más de 120 reconocidos profesionales del sector ambiental escribieron una carta a los candidatos a la Presidencia. ¿Qué les piden?,metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:JSW5VYKRGJGCTPEFBBRAABXW7E,El Espectador,"Regresaron al bosque a monitorear al imponente águila crestada, pero encontraron un potrero",https://www.elespectador.com/ambiente/regresaron-al-bosque-para-monitorear-al-imponente-aguila-crestada-pero-encontraron-un-potrero/,2026-05-22,Colombia,Antioquia,,7.000008,-75.500009,logging_deforestation,,,,deforestation,"En un monitoreo de águilas crestadas, un imponente depredador de los bosques colombianos, biólogos se encontraron con un bosque deforestado.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: Andrés Mauricio Díaz Páez | Section: Ambiente,ok,region,"Antioquia, Colombia","Antioquia, RAP del Agua y la Montaña, Colombia"
elespectador:QN742RXGYNGM7CPE2OE67PHDEY,El Espectador,Autoridades desmantelan complejo de minería ilegal en Sierra Nevada de Santa Marta,https://www.elespectador.com/ambiente/autoridades-desmantelan-complejo-de-mineria-ilegal-en-sierra-nevada-de-santa-marta/,2026-05-19,Colombia,Magdalena,,10.580808,-74.068567,mining,,,,illegal mining,"Las autoridades desmantelaron un complejo de minería ilegal que estaba expandiéndose, amenazando la Sierra Nevada de Santa Marta.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente,ok,region,"Magdalena, Colombia","Magdalena, RAP Caribe, Colombia"
elespectador:PGXZHUNJSREXPOQZZNH7ZBI6F4,El Espectador,En video: captan una mamá jaguar con sus dos cachorros en la Amazonia colombiana,https://www.elespectador.com/ambiente/amazonas/en-video-captan-una-mama-jaguar-con-sus-dos-cachorros-en-la-amazonia-colombiana/,2026-05-14,Colombia,Amazonas,,-1.305299,-71.465921,logging_deforestation,,,,deforestation,"Las imágenes de la cámara trampa muestran a la hembra y sus dos crías de jaguar caminando por el raudal del Guayabero, en Guaviare.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Amazonas,ok,region,"Amazonas, Colombia","Amazonas, RAP Amazonía, Colombia"
elespectador:7XGAUIKF55FGVCDVXFNYF6WPKY,El Espectador,"Cae alias “Palillo”, ficha clave de la expansión del Clan del Golfo en Sucre y Bajo Cauca",https://www.elespectador.com/judicial/cae-alias-palillo-ficha-clave-de-la-expansion-del-clan-del-golfo-en-sucre-y-bajo-cauca/,2026-05-12,Colombia,Cauca,,2.715645,-76.662665,mining,,,enforcement_action,,"También fueron capturadas dos personas más que, según las autoridades, integraban su esquema de seguridad.",metadata + keyword rule,Author: Redacción Judicial | Section: Judicial,ok,region,"Cauca, Colombia","Cauca, RAP Pacífico, Colombia"
elespectador:RN7GBGNBKFG25NKKV3SVM2Z6UI,El Espectador,"Sudamérica, la región que más bosques perdió en el mundo durante la última década",https://www.elespectador.com/ambiente/sudamerica-la-region-que-mas-bosques-perdio-en-el-mundo-durante-la-ultima-decada/,2026-05-12,Brazil,Casanare,,,,logging_deforestation,,,,deforestation,"Cada año, entre 2015 y 2025, Sudamérica perdió 4,10 millones de hectáreas de bosques, un área equivalente al departamento del Casanare.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente,not_found,,,
elespectador:3VKCBB5TTNEDJEZX5HTWNN3JYU,El Espectador,Verde por fuera,https://www.elespectador.com/opinion/columnistas/tatiana-acevedo-guerrero/verde-por-fuera/,2026-05-10,Colombia,,,4.099917,-72.908813,logging_deforestation,,,,deforestation,"“Pese a lo verde del proyecto, no se está contribuyendo de manera honesta a una Barranquilla más sostenible”: Tatiana Acevedo Guerrero",metadata + keyword rule,No event_type matched; manual review. | Author: Tatiana Acevedo Guerrero | Section: Columnistas,ok,country,Colombia,Colombia
