article_id,source,article_title,article_url,date_published,country,region_department,locality,latitude,longitude,sector,actor_company,community_actor,event_type,environmental_issue,source_text_excerpt,extraction_method,notes
elespectador:CSNLVX6X3JCNVOGY5M4E4ZZIEI,El Espectador,"El proyecto de cobre más grande de Colombia tuvo luz verde, pero quedan unos “peros”",https://www.elespectador.com/ambiente/blog-el-rio/el-alacran-el-proyecto-de-cobre-mas-grande-de-colombia-tuvo-luz-verde-pero-quedan-unos-peros/,2026-05-31,Colombia,Córdoba,,,,mining,,,,,"El Alacrán, una mina de 97 millones de toneladas de cobre, recibió luz verde. Pero hay varias dudas sobre su impacto en las fuentes de agua.",metadata + keyword rule,No event_type matched; manual review. | Author: Andrés Mauricio Díaz Páez | Section: Blog El Río
elespectador:IMA74ED6U5FRBPI5FDX2SGXVKQ,El Espectador,Parque Tayrona anuncia cierre temporal durante las dos primeras semanas de junio,https://www.elespectador.com/ambiente/parque-tayrona-anuncia-cierre-temporal-durante-las-dos-primeras-semanas-de-junio/,2026-05-30,Colombia,,,,,protected_areas,,,,,"Del próximo 1 al 15 de junio, el PNN Tayrona cerrará sus puertas al público para “dar un respiro” al área protegida.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente
elespectador:QN742RXGYNGM7CPE2OE67PHDEY,El Espectador,Autoridades desmantelan complejo de minería ilegal en Sierra Nevada de Santa Marta,https://www.elespectador.com/ambiente/autoridades-desmantelan-complejo-de-mineria-ilegal-en-sierra-nevada-de-santa-marta/,2026-05-19,Colombia,Magdalena,,,,mining,,,,illegal mining,"Las autoridades desmantelaron un complejo de minería ilegal que estaba expandiéndose, amenazando la Sierra Nevada de Santa Marta.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Ambiente
elespectador:PGXZHUNJSREXPOQZZNH7ZBI6F4,El Espectador,En video: captan una mamá jaguar con sus dos cachorros en la Amazonia colombiana,https://www.elespectador.com/ambiente/amazonas/en-video-captan-una-mama-jaguar-con-sus-dos-cachorros-en-la-amazonia-colombiana/,2026-05-14,Colombia,Amazonas,,,,logging_deforestation,,,,deforestation,"Las imágenes de la cámara trampa muestran a la hembra y sus dos crías de jaguar caminando por el raudal del Guayabero, en Guaviare.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Amazonas
elespectador:7XGAUIKF55FGVCDVXFNYF6WPKY,El Espectador,"Cae alias “Palillo”, ficha clave de la expansión del Clan del Golfo en Sucre y Bajo Cauca",https://www.elespectador.com/judicial/cae-alias-palillo-ficha-clave-de-la-expansion-del-clan-del-golfo-en-sucre-y-bajo-cauca/,2026-05-12,Colombia,Cauca,,,,mining,,,enforcement_action,,"También fueron capturadas dos personas más que, según las autoridades, integraban su esquema de seguridad.",metadata + keyword rule,Author: Redacción Judicial | Section: Judicial
elespectador:2YNQWLMFXVFI7JK4VZWQ2QT774,El Espectador,"Por primera vez, campesinos reciben concesión para conservar y usar el bosque amazónico",https://www.elespectador.com/ambiente/amazonas/por-primera-vez-campesinos-reciben-concesion-para-conservar-y-usar-el-bosque-amazonico/,2026-05-08,Colombia,Amazonas,,,,logging_deforestation,,,,biodiversity loss,"Este 8 de mayo, en Caquetá, fue entregada la primera Concesión Forestal Campesina del país. Estos son los detalles.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: Catalina Sanabria Devia | Section: Amazonas
elespectador:SR2NQJDK2JDETLJE4ZNWYSGHUA,El Espectador,Atacan con piedras a militares y queman carro de Policía en nueva asonada en Tolima,https://www.elespectador.com/judicial/atacan-con-piedras-a-militares-y-queman-carro-de-policia-en-nueva-asonada-en-tolima/,2026-05-07,Colombia,Tolima,,,,mining,,,,illegal mining,"Los hechos ocurrieron en el municipio de Ataco (Tolima), cuando los uniformados adelantaban una operación contra la minería ilegal.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Judicial | Section: Judicial
elespectador:F74JNJLOTREMBHSODFPT6ALOBE,El Espectador,Solo falta la firma del presidente: Colombia aprueba ley para conocer el origen de la carne,https://www.elespectador.com/ambiente/amazonas/solo-falta-la-firma-del-presidente-colombia-aprueba-ley-para-conocer-el-origen-de-la-carne/,2026-05-06,Colombia,Amazonas,,,,logging_deforestation,,,,deforestation,"Con el fin de evitar la deforestación, que en 2025 superó las 72.000 hectáreas de bosque, esta ley busca seguirle el rastro al ganado.",metadata + keyword rule,No event_type matched; manual review. | Author: Redacción Ambiente | Section: Amazonas
elespectador:S5YFAVOYS5FYDC3NGQIKNLATNQ,El Espectador,Deforestación está empujando a la Amazonia al colapso: científicos hacen un nuevo llamado,https://www.elespectador.com/ambiente/amazonas/deforestacion-esta-empujando-a-la-amazonia-al-colapso-cientificos-hacen-un-nuevo-llamado/,2026-05-06,Colombia,Amazonas,,,,logging_deforestation,,,,deforestation,"Científicos hacen un nuevo llamado a frenar la deforestación en la Amazonia, pues la selva estaría cerca de convertirse en una sabana seca.",metadata + keyword rule,Premium/locked article — full body not scraped. | No event_type matched; manual review. | Author: Catalina Sanabria Devia | Section: Amazonas
elespectador:NH263452EFA2ZB62AODG53P4SQ,El Espectador,Envían a la cárcel a 11 personas que explotaban mina ilegal de oro en Cauca,https://www.elespectador.com/judicial/envian-a-la-carcel-a-11-personas-que-explotaban-mina-ilegal-de-oro-en-cauca/,2026-05-03,Colombia,Cauca,,,,mining,,,enforcement_action,,Estas personas fueron capturadas en flagrancia en zona rural de Santander de Quilichao (Cauca).,metadata + keyword rule,Author: Redacción Judicial | Section: Judicial
